timestamp,temp_raw,ldr_raw
2026-03-25T00:10:25Z,22.18,436
2026-03-25T00:10:26Z,21.96,452
2026-03-25T00:10:27Z,21.94,439
2026-03-25T00:10:28Z,21.95,421
2026-03-25T00:10:29Z,22.5,440
2026-03-25T00:10:30Z,21.91,428
2026-03-25T00:10:31Z,22.12,451
2026-03-25T00:10:32Z,22.06,437
2026-03-25T00:10:33Z,22.05,462
2026-03-25T00:10:34Z,22.2,459
2026-03-25T00:10:35Z,22.28,433
2026-03-25T00:10:36Z,22.04,451
2026-03-25T00:10:37Z,22.1,437
2026-03-25T00:10:38Z,22.16,438
2026-03-25T00:10:39Z,22.41,448
2026-03-25T00:10:40Z,22.21,422
2026-03-25T00:10:41Z,22.17,436
2026-03-25T00:10:42Z,22.28,407
2026-03-25T00:10:43Z,21.95,398
2026-03-25T00:10:44Z,21.98,412
2026-03-25T00:10:45Z,22.11,402
2026-03-25T00:10:46Z,22.27,412
2026-03-25T00:10:47Z,22.05,394
2026-03-25T00:10:48Z,22.05,408
2026-03-25T00:10:49Z,21.92,394
2026-03-25T00:10:50Z,22.32,409
2026-03-25T00:10:51Z,22.52,404
2026-03-25T00:10:52Z,22.21,413
2026-03-25T00:10:53Z,22.52,409
2026-03-25T00:10:54Z,22.41,423
2026-03-25T00:10:55Z,22.37,414
2026-03-25T00:10:56Z,22.39,427
2026-03-25T00:10:57Z,22.14,417
2026-03-25T00:10:58Z,22.21,438
2026-03-25T00:10:59Z,22.44,442
2026-03-25T00:11:00Z,22.52,435
2026-03-25T00:11:01Z,22.48,460
2026-03-25T00:11:02Z,22.54,438
2026-03-25T00:11:03Z,22.21,444
2026-03-25T00:11:04Z,22.57,448
2026-03-25T00:11:05Z,22.71,438
2026-03-25T00:11:06Z,22.36,448
2026-03-25T00:11:07Z,22.41,438
2026-03-25T00:11:08Z,22.33,438
2026-03-25T00:11:09Z,22.61,461
2026-03-25T00:11:10Z,22.44,424
2026-03-25T00:11:11Z,22.71,435
2026-03-25T00:11:12Z,22.57,721
2026-03-25T00:11:13Z,22.58,422
2026-03-25T00:11:14Z,22.37,417
2026-03-25T00:11:15Z,22.28,417
2026-03-25T00:11:16Z,22.16,405
2026-03-25T00:11:17Z,22.36,408
2026-03-25T00:11:18Z,22.55,406
2026-03-25T00:11:19Z,22.3,419
2026-03-25T00:11:20Z,22.76,432
2026-03-25T00:11:21Z,22.81,393
2026-03-25T00:11:22Z,22.55,412
2026-03-25T00:11:23Z,22.82,404
2026-03-25T00:11:24Z,22.48,573
